"run";"landscapeLoaderClass";"randomSeed";"maxMetabolism";"maxVision";"agentLoaderClass";"maxInitEndownment"
1;"SugarScapeLandscapePGMChapter2";1376932352;1;1;"SugarscapeAgentsLoaderChapter2";1
5;"SugarScapeLandscapePGMChapter2";1376935305;1;2;"SugarscapeAgentsLoaderChapter2";1
9;"SugarScapeLandscapePGMChapter2";1376937446;1;3;"SugarscapeAgentsLoaderChapter2";1
13;"SugarScapeLandscapePGMChapter2";1376940087;1;4;"SugarscapeAgentsLoaderChapter2";1
17;"SugarScapeLandscapePGMChapter2";1376943480;1;5;"SugarscapeAgentsLoaderChapter2";1
21;"SugarScapeLandscapePGMChapter2";1376947671;1;6;"SugarscapeAgentsLoaderChapter2";1
25;"SugarScapeLandscapePGMChapter2";1376952312;2;1;"SugarscapeAgentsLoaderChapter2";1
29;"SugarScapeLandscapePGMChapter2";1376953609;2;2;"SugarscapeAgentsLoaderChapter2";1
33;"SugarScapeLandscapePGMChapter2";1376955125;2;3;"SugarscapeAgentsLoaderChapter2";1
37;"SugarScapeLandscapePGMChapter2";1376956974;2;4;"SugarscapeAgentsLoaderChapter2";1
41;"SugarScapeLandscapePGMChapter2";1376959083;2;5;"SugarscapeAgentsLoaderChapter2";1
45;"SugarScapeLandscapePGMChapter2";1376961552;2;6;"SugarscapeAgentsLoaderChapter2";1
49;"SugarScapeLandscapePGMChapter2";1376964350;3;1;"SugarscapeAgentsLoaderChapter2";1
53;"SugarScapeLandscapePGMChapter2";1376965556;3;2;"SugarscapeAgentsLoaderChapter2";1
57;"SugarScapeLandscapePGMChapter2";1376966853;3;3;"SugarscapeAgentsLoaderChapter2";1
61;"SugarScapeLandscapePGMChapter2";1376968400;3;4;"SugarscapeAgentsLoaderChapter2";1
65;"SugarScapeLandscapePGMChapter2";1376970213;3;5;"SugarscapeAgentsLoaderChapter2";1
69;"SugarScapeLandscapePGMChapter2";1376972260;3;6;"SugarscapeAgentsLoaderChapter2";1
73;"SugarScapeLandscapePGMChapter2";1376974577;4;1;"SugarscapeAgentsLoaderChapter2";1
77;"SugarScapeLandscapePGMChapter2";1376975718;4;2;"SugarscapeAgentsLoaderChapter2";1
81;"SugarScapeLandscapePGMChapter2";1376976936;4;3;"SugarscapeAgentsLoaderChapter2";1
85;"SugarScapeLandscapePGMChapter2";1376978343;4;4;"SugarscapeAgentsLoaderChapter2";1
